ExitID,EmployeeID,DateOfExit,Reason,ExitInterviewStatus
1,1602,2025-09-09,Retirement,Completed
2,1006,2022-07-27,Personal,Completed
3,458,2023-02-19,Layoff,Pending
4,1313,2020-12-07,Performance,Pending
5,840,2025-03-31,Personal,Completed
6,848,2025-02-06,Personal,Skipped
7,707,2024-12-31,Retirement,Completed
8,1064,2023-07-17,Layoff,Completed
9,8,2025-08-11,Retirement,Pending
10,1189,2019-01-02,Layoff,Skipped
11,229,2024-09-17,Layoff,Pending
12,1270,2024-02-12,Performance,Skipped
13,1316,2022-04-27,Personal,Pending
14,1632,2024-07-24,Personal,Skipped
15,1430,2022-09-13,Layoff,Pending
16,655,2023-04-05,Layoff,Pending
17,1991,2022-11-18,Performance,Pending
18,1700,2021-04-10,Personal,Skipped
19,1965,2021-07-06,Performance,Completed
20,1484,2017-11-29,Performance,Pending
21,192,2023-09-15,Better Offer,Skipped
22,300,2025-01-12,Better Offer,Pending
23,1271,2022-12-21,Personal,Pending
24,1130,2023-03-23,Personal,Completed
25,381,2022-08-06,Personal,Pending
26,516,2025-07-07,Layoff,Skipped
27,1799,2022-03-07,Better Offer,Skipped
28,1577,2014-05-09,Personal,Pending
29,1350,2025-01-04,Performance,Pending
30,1762,2017-12-21,Layoff,Skipped
31,1025,2015-09-30,Better Offer,Skipped
32,54,2021-06-09,Layoff,Completed
33,1744,2019-07-28,Personal,Pending
34,216,2024-06-24,Better Offer,Pending
35,756,2018-07-14,Better Offer,Pending
36,1063,2025-04-25,Layoff,Completed
37,1319,2024-09-19,Retirement,Skipped
38,1342,2019-05-28,Layoff,Skipped
39,706,2019-11-30,Layoff,Completed
40,1222,2017-05-06,Better Offer,Pending
41,1200,2025-01-02,Layoff,Skipped
42,1351,2025-08-22,Personal,Completed
43,1466,2024-03-20,Retirement,Skipped
44,900,2023-12-26,Personal,Skipped
45,115,2025-02-17,Personal,Completed
46,1047,2021-09-11,Performance,Completed
47,1269,2022-01-17,Better Offer,Skipped
48,1303,2018-06-25,Retirement,Skipped
49,839,2021-10-04,Retirement,Completed
50,1734,2024-09-02,Personal,Skipped
51,711,2023-03-04,Better Offer,Completed
52,1235,2022-10-27,Layoff,Pending
53,142,2012-03-16,Better Offer,Completed
54,67,2016-06-10,Personal,Completed
55,126,2024-10-02,Layoff,Skipped
56,1684,2025-05-22,Performance,Pending
57,38,2025-04-04,Better Offer,Skipped
58,735,2021-02-11,Better Offer,Pending
59,825,2024-03-19,Better Offer,Completed
60,212,2024-09-15,Performance,Completed
61,510,2024-01-15,Performance,Completed
62,461,2023-05-21,Performance,Completed
63,469,2022-03-28,Better Offer,Skipped
64,1193,2020-05-20,Layoff,Completed
65,314,2023-05-07,Layoff,Pending
66,365,2025-06-28,Retirement,Skipped
67,577,2024-07-26,Better Offer,Skipped
68,1923,2022-05-29,Performance,Completed
69,141,2021-10-07,Performance,Skipped
70,998,2025-07-04,Personal,Skipped
71,1224,2025-01-26,Layoff,Pending
72,1295,2023-11-10,Better Offer,Pending
73,672,2024-02-14,Performance,Skipped
74,1852,2025-08-20,Retirement,Pending
75,1164,2024-07-01,Personal,Pending
76,1519,2016-10-03,Layoff,Pending
77,1257,2023-09-24,Layoff,Pending
78,1067,2013-11-06,Retirement,Pending
79,1369,2021-04-10,Layoff,Completed
80,340,2018-02-22,Retirement,Pending
81,1433,2023-11-28,Layoff,Skipped
82,396,2020-08-08,Retirement,Skipped
83,1560,2021-10-22,Performance,Completed
84,982,2025-02-24,Personal,Pending
85,104,2025-04-09,Better Offer,Pending
86,1699,2014-06-08,Layoff,Pending
87,690,2023-02-08,Performance,Completed
88,438,2014-09-28,Personal,Completed
89,1912,2023-09-30,Performance,Skipped
90,358,2018-03-09,Retirement,Completed
91,25,2024-03-14,Performance,Pending
92,856,2024-05-30,Layoff,Completed
93,1996,2021-11-21,Personal,Completed
94,704,2024-08-19,Personal,Completed
95,1670,2019-04-30,Retirement,Skipped
96,1331,2018-12-16,Retirement,Pending
97,1324,2019-10-16,Layoff,Pending
98,1367,2017-11-03,Better Offer,Skipped
99,493,2022-11-05,Retirement,Skipped
100,557,2016-11-11,Personal,Skipped
101,1111,2021-12-03,Personal,Pending
102,817,2023-08-09,Personal,Completed
103,1977,2019-01-19,Performance,Completed
104,1840,2023-10-28,Personal,Skipped
105,1546,2023-02-18,Personal,Pending
106,1942,2025-04-26,Layoff,Pending
107,1986,2021-08-04,Layoff,Pending
108,224,2021-10-25,Retirement,Completed
109,1042,2023-11-24,Retirement,Pending
110,430,2024-08-04,Retirement,Pending
111,210,2022-11-01,Personal,Pending
112,1211,2019-06-17,Retirement,Skipped
113,1601,2021-01-26,Retirement,Skipped
114,357,2024-11-18,Retirement,Pending
115,1758,2022-12-25,Retirement,Pending
116,920,2025-03-03,Layoff,Pending
117,221,2020-11-22,Performance,Completed
118,1456,2024-01-09,Performance,Completed
